algorithm,compression_ratio,budget,runtime_seconds,memory_mb,hausdorff_distance,average_pte,frechet_distance,ped,dad,sed,sad,issd,original_points,simplified_points,trajectory_id,trajectory_size,turn_preservation,stop_preservation,original_turns,preserved_turns,preservation_ratio,original_stops,preserved_stops
squish,5.097560975609756,41,0.4514758586883545,0.01627349853515625,16.596008991294674,1.1869114090907613,16.596008991294674,1.1869114090907613,80.10509913989893,31.692151859918766,0.5951339555249618,78807.90409527176,209,41,1,209,,,,,,,
squish,10.45,20,0.4228329658508301,0.01627349853515625,25.220438203152547,3.999366908733784,30.53487115422947,3.999366908733784,93.00033538007342,77.85775419067905,0.5192619199468963,130334.36493550055,209,20,1,209,,,,,,,
vw,2.0096153846153846,104,0.21575665473937988,0.007442474365234375,6.492670454552929,0.13147423770839792,6.749523531187151,0.13147423770839792,86.01038870254968,22.843020291038375,0.45761266387357363,82210.14258524698,209,104,1,209,,,,,,,
vw,5.097560975609756,41,0.2878415584564209,0.005705833435058594,16.596008991294674,1.1869114090907613,16.596008991294674,1.1869114090907613,80.10509913989893,31.692151859918766,0.5951339555249618,78807.90409527176,209,41,1,209,,,,,,,
vw,10.45,20,0.28974366188049316,0.005705833435058594,25.220438203152547,3.999366908733784,30.53487115422947,3.999366908733784,93.00033538007342,77.85775419067905,0.5192619199468963,130334.36493550055,209,20,1,209,,,,,,,
sw,2.029126213592233,104,7.083494186401367,0.01892566680908203,7.003222461363507,0.06433962973099723,8.113883789645545,0.06437239613621216,85.58363070473851,21.885367393407382,0.48160565946220746,78558.23339303027,209,103,1,209,,,,,,,
sw,8.038461538461538,41,6.723860025405884,0.013373374938964844,26.618530018781016,1.2276275897005038,30.53487115422947,1.2276275897005038,80.98046165380931,52.46356291912904,0.6339976189922549,118231.4187845671,209,26,1,209,,,,,,,
sw,11.61111111111111,20,8.568260669708252,0.013867378234863281,31.978612650784196,2.120013687692759,36.572087226150146,2.120013687692759,97.35042190532951,86.43918703120933,0.48766376701114134,156524.01751127408,209,18,1,209,,,,,,,
rw,2.0096153846153846,104,0.17947793006896973,0.018896102905273438,5.46215352956426,0.5506043865778353,5.46215352956426,0.5506043865778353,90.44428578067537,22.543204981782285,0.4425804046555646,80013.85816280823,209,104,1,209,,,,,,,
rw,5.358974358974359,41,0.16578388214111328,0.014387130737304688,11.811070227346061,2.6104390972954725,11.811070227346061,2.6104390972954725,92.02896110530202,44.82497176866715,0.6165871303385976,95795.58909016235,209,39,1,209,,,,,,,
rw,12.294117647058824,20,0.10497188568115234,0.012507438659667969,20.159871588256177,3.1834537912998253,23.351555869607395,3.1834537912998253,94.95696808053063,87.19959021589463,0.47652840659353074,166795.13624252984,209,17,1,209,,,,,,,
proposed,2.0096153846153846,104,0.19933152198791504,0.03798961639404297,58.14289891010969,7.035014735825325,72.5992747406627,7.035014735825325,39.86959635069764,20.09492275613426,0.30277810260955823,22510.922012691404,209,104,1,209,0.6637168141592921,0.5,113.0,75.0,0.5,6.0,3.0
proposed,5.097560975609756,41,0.21158266067504883,0.03980255126953125,58.14289891010969,7.319126618972771,72.5992747406627,7.319126618972771,58.57191418340566,20.46081102449753,0.3604863149259879,22788.02843370875,209,41,1,209,0.6902654867256637,0.5,113.0,78.0,0.5,6.0,3.0
proposed,10.45,20,0.2087240219116211,0.03803253173828125,58.14289891010969,9.579033050319287,62.47223230879505,9.579033050319287,72.88834085071174,22.61655899587926,0.399156205275366,24680.449073829455,209,20,1,209,0.504424778761062,0.6666666666666666,113.0,57.0,0.6666666666666666,6.0,4.0
original,1.0,316,0.0011398792266845703,0.006062507629394531,0.0,0.0,0.0,0.0,51.522975972789794,503.202408769139,0.6274214153115959,4153291.991510816,632,632,2,632,,,,,,,
original,1.0,126,0.0005424022674560547,0.005700111389160156,0.0,0.0,0.0,0.0,51.522975972789794,503.202408769139,0.6274214153115959,4153291.991510816,632,632,2,632,,,,,,,
original,1.0,63,0.0005791187286376953,0.005700111389160156,0.0,0.0,0.0,0.0,51.522975972789794,503.202408769139,0.6274214153115959,4153291.991510816,632,632,2,632,,,,,,,
dp,48.61538461538461,316,4.2629687786102295,0.025948524475097656,2807.486568759966,75.0126271644053,3095.9462177508776,75.0126271644053,56.62980963417494,593.3735417476319,0.9180269814310321,4211580.95681276,632,13,2,632,,,,,,,
dp,6.196078431372549,126,1.5441040992736816,0.02810382843017578,101.68943237443321,1.280942532731158,101.68943237443321,1.280942532731158,48.73363504847135,524.2757711459274,0.7327482996108837,4131304.130753084,632,102,2,632,,,,,,,
dp,10.533333333333333,63,2.1923673152923584,0.02536296844482422,101.68943237443321,2.0379591255773564,101.68943237443321,2.0379591255773564,44.05082984203673,444.16522750114564,0.7406916006459225,3672190.546620275,632,60,2,632,,,,,,,
squish,2.0,316,1.732811689376831,0.057098388671875,16.421840900025863,0.24659340099237573,16.421840900025863,0.24659340099237573,54.06891720988078,564.9693931709062,0.6776657426886228,4379190.982378684,632,316,2,632,,,,,,,
squish,5.015873015873016,126,2.1786093711853027,0.05780029296875,38.38370251146498,0.9610922758038603,38.38370251146498,0.9610922758038603,50.317348993302716,549.2226889352102,0.6821652737049435,4255369.841515034,632,126,2,632,,,,,,,
squish,10.031746031746032,63,2.2009449005126953,0.057098388671875,74.48639668396832,1.9026705649066165,75.26322701267034,1.9026705649066165,50.370258146714946,548.4943009110988,0.6461980834777503,4172220.7761151907,632,63,2,632,,,,,,,
